"","id","v1","v2","v3","v4","v5","v6","v7","v8","v9","v10","Actual_Seg","Kmeans.cluster"
"1",1,4.91685034940449,1,1,1,7.29372870869076,10,10,1.11258390896993,10,1,1,2
"2",2,2.72547957279426,4.74374154071372,1,1,1,1,10,1,6.5559571170018,4.71475148277074,1,2
"3",3,10,10,1,3.21835947791823,3.87419354620898,4.64733071824261,10,1,2.73830478123458,2.93421502347975,1,4
"4",4,9.18129680756631,1,4.6764198775615,3.94745564292488,1,7.60124965014415,10,5.35524780237238,5.97254659740817,3.55464072045011,1,6
"5",5,1,1,10,6.61698508863391,1.60759233826403,1,7.28474748390648,5.09586187303996,7.7286120796653,8.90279075341649,1,1
"6",6,10,10,2.1317150825439,10,1,5.16700878647765,6.6232416268999,4.48967145447996,2.91206121211983,5.45801858575561,1,4
"7",7,2.27335347720935,1,1.46510599593594,10,2.44629584359402,3.0834128754358,10,6.8598065909257,5.23893993641388,3.61824354094617,1,5
"8",8,8.28678211919902,1,2.93062464909343,10,5.24271056160493,5.77111866815915,8.82356705290572,2.45596076417976,8.91281536464939,4.06644131065023,1,3
"9",9,4.53129839946786,4.6054177348511,1,7.63411338636205,1.96954475633266,3.19489395398259,1.75629418400746,1,1,2.10222896675837,1,2
"10",10,1,4.81737393457751,10,1,5.53467439685322,1,8.35489570698021,1,4.71979961638614,2.43712847620692,1,6
"11",11,6.72959814055794,9.77232927462632,10,1,4.7361280004203,7.22699451868953,6.47237182117858,10,1,1.60856489004651,1,6
"12",12,3.48248299748154,5.03109325896582,10,1,4.13914952032657,9.89218123420093,8.37318756017177,5.61186297104531,1,2.59340531743212,1,6
"13",13,1,1.14321687531329,1,1,9.72140814337734,10,6.70564831874878,1.11389613506427,4.39603332831468,4.79614443795806,1,2
"14",14,6.66743639791795,4.64660997905292,7.12200966502545,1,5.93626905720064,10,10,4.8085205846447,4.16700752154765,1,1,6
"15",15,1,2.64736408124302,4.73223062532441,1,1.58946713299072,8.99049926861836,6.06030194152848,10,9.88660095683206,4.93986194699569,1,6
"16",16,2.38705083286666,1,1,1,1,9.50690696254214,10,1,9.15053279972502,6.4353284515146,1,2
"17",17,4.78829216441765,10,10,1,4.82347441161588,4.17669971008355,9.32891884220459,9.83359207538424,5.40445352975475,1,1,6
"18",18,1,10,5.85788661024125,1,6.59681186013353,8.75753179769791,6.00427160041015,1,10,1,1,2
"19",19,1,1,7.90300102034836,4.99388423980058,1,5.13569926335284,3.47319109269248,5.97319258537861,1,7.51621974350954,1,1
"20",20,10,10,1.34855578749314,4.437448243952,6.95807427554267,7.83338901993866,10,8.04723144125246,5.26643933396312,5.00194609961004,1,4
"21",21,1.06597780714674,10,9.40734646330726,10,3.93282082467999,9.9558324888666,3.00038356609328,5.08565880805179,9.00811103135815,1,1,5
"22",22,1,8.34372833731578,1,1,1,6.99722039700292,7.42782811839133,9.16555128363479,8.98647140615396,1,1,2
"23",23,1,7.6194202570485,6.49880115921573,10,1.7836036528652,10,6.06772699764864,6.83063379171978,1,2.82413471207623,1,5
"24",24,9.79053451342493,4.29829545707411,5.74712698985982,6.43563001247954,2.47677503737172,10,3.427764270418,2.08972058109121,1,1,1,4
"25",25,1.11360235818378,3.43174901619467,10,3.49066462309134,8.62730472414607,8.84207627335079,9.54999103253452,1.2946758222081,5.70148953336939,1,1,6
"26",26,7.79550318976716,1,10,1,1,10,10,1,3.44433170752321,5.28383679386799,1,6
"27",27,6.11801903625445,5.10500764232262,1,1,10,3.78671831450338,5.11394221907852,10,10,1.490344081487,1,3
"28",28,2.07418400874125,7.06864349989092,10,1.75676890025418,1.92074944274856,9.49803664269109,7.85459846370424,3.16376257827616,1.46344190962092,5.36077459546427,1,6
"29",29,5.8523248527981,1,7.57546569906006,1,7.42540480426466,3.66241290362921,10,7.11977146509363,6.1296618701301,1,1,6
"30",30,1,3.14781730185034,1,7.50481032520887,6.05994247940212,9.00428861821004,4.99807884013957,5.68645952146573,6.72702615990172,1,1,2
"31",31,2.09468515800535,4.60960409416164,10,3.85961492514543,1,10,9.56034664024515,7.38337357930536,5.21369372552606,2.90559256191273,1,6
"32",32,1,1,6.54109451771034,8.85296093366932,5.76763169924369,3.27182151196545,4.99369194159277,4.15441110616924,10,3.55677249883299,1,5
"33",33,10,5.97161834981475,3.47800580777374,4.50180009046726,2.2640815129018,6.46445102815986,3.18215839519957,6.74916900125243,10,9.69670143119683,1,4
"34",34,7.60965773714936,1.46961350668273,1,6.49264588005386,6.82121530700883,1,10,5.36382314479744,4.49814279824695,1,1,3
"35",35,6.07031186908896,6.10667079860006,1.54873398755906,6.72830176046269,7.59870680686987,8.13912398767574,7.20206548219771,1,5.21401665237137,1,1,2
"36",36,4.31116134460638,1.59181277911137,8.8008324562846,1,2.9317623839987,3.5461653796733,5.67747973008602,1.06400947873828,3.57973778832647,3.74419299039148,1,6
"37",37,1,1,10,1,8.81807262331408,8.61410493642135,10,4.23634932902338,7.71267495927445,5.35884510890376,1,6
"38",38,1,1,1,1,5.83125856879521,10,2.86607748773066,7.65962850503049,5.06682864218415,2.09262152323712,1,2
"39",39,3.0118772402844,3.8808090850114,1,4.90865075435001,4.40951055658305,10,8.13761588863582,6.05118188254149,1,6.34481071577519,1,2
"40",40,2.62638225636262,4.23717421346122,8.22208916471397,4.55373021016087,10,5.77130930530779,6.69453562877098,3.51989627230819,8.40450621167976,1,1,6
